timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709029441539,885,HTTP Request,200,OK,Thread Group 1-1,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,155,0,77
1709029441539,166,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,155,0,77
1709029441715,709,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,708,0,615
1709029442434,144,HTTP Request,200,OK,Thread Group 1-1,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,63,0,0
1709029442434,63,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,63,0,0
1709029442498,80,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,80,0,0
1709029444035,376,HTTP Request,200,OK,Thread Group 1-2,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,59
1709029444035,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,59
1709029444154,257,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,256,0,176
1709029444412,135,HTTP Request,200,OK,Thread Group 1-2,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029444412,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029444471,76,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,75,0,0
1709029446633,370,HTTP Request,200,OK,Thread Group 1-3,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029446633,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029446752,251,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,250,0,167
1709029447003,130,HTTP Request,200,OK,Thread Group 1-3,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029447003,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029447063,70,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,70,0,0
1709029449233,427,HTTP Request,200,OK,Thread Group 1-4,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,143,0,71
1709029449233,143,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,143,0,71
1709029449377,283,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,283,0,200
1709029449661,156,HTTP Request,200,OK,Thread Group 1-4,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,69,0,0
1709029449661,69,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,69,0,0
1709029449731,86,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,86,0,0
1709029451833,358,HTTP Request,200,OK,Thread Group 1-5,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,60
1709029451833,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,60
1709029451952,239,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,238,0,163
1709029452191,135,HTTP Request,200,OK,Thread Group 1-5,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029452191,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029452250,76,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,75,0,0
1709029454433,357,HTTP Request,200,OK,Thread Group 1-6,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,123,0,62
1709029454433,123,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,123,0,62
1709029454557,233,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,233,0,161
1709029454791,141,HTTP Request,200,OK,Thread Group 1-6,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,61,0,0
1709029454791,62,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,61,0,0
1709029454853,79,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,78,0,0
1709029457034,402,HTTP Request,200,OK,Thread Group 1-7,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029457034,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029457153,283,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,282,0,208
1709029457437,140,HTTP Request,200,OK,Thread Group 1-7,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029457437,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029457495,82,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,82,0,0
1709029459634,371,HTTP Request,200,OK,Thread Group 1-8,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,60
1709029459634,119,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,60
1709029459754,251,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,251,0,166
1709029460006,135,HTTP Request,200,OK,Thread Group 1-8,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029460006,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029460065,76,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,75,0,0
1709029462234,352,HTTP Request,200,OK,Thread Group 1-9,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,123,0,61
1709029462234,123,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,123,0,61
1709029462358,228,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,227,0,156
1709029462586,138,HTTP Request,200,OK,Thread Group 1-9,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,64,0,0
1709029462586,64,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,64,0,0
1709029462650,74,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,74,0,0
1709029464834,359,HTTP Request,200,OK,Thread Group 1-10,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,124,0,62
1709029464834,124,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,124,0,62
1709029464959,234,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,233,0,158
1709029465195,137,HTTP Request,200,OK,Thread Group 1-10,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,62,0,0
1709029465195,62,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,62,0,0
1709029465257,75,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,74,0,0
1709029467434,364,HTTP Request,200,OK,Thread Group 1-11,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,125,0,63
1709029467434,125,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,125,0,63
1709029467560,238,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,238,0,164
1709029467799,142,HTTP Request,200,OK,Thread Group 1-11,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,61,0,0
1709029467799,61,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,61,0,0
1709029467860,81,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,81,0,0
1709029470039,351,HTTP Request,200,OK,Thread Group 1-12,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,60
1709029470039,119,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,60
1709029470159,231,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,230,0,155
1709029470394,134,HTTP Request,200,OK,Thread Group 1-12,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029470394,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029470453,75,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,75,0,0
1709029472635,364,HTTP Request,200,OK,Thread Group 1-13,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,125,0,63
1709029472635,126,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,125,0,63
1709029472762,237,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,237,0,152
1709029473000,139,HTTP Request,200,OK,Thread Group 1-13,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,63,0,0
1709029473000,63,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,63,0,0
1709029473064,75,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,74,0,0
1709029475233,356,HTTP Request,200,OK,Thread Group 1-14,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029475233,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029475352,237,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,237,0,160
1709029475590,132,HTTP Request,200,OK,Thread Group 1-14,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029475590,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029475649,73,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,73,0,0
1709029477833,372,HTTP Request,200,OK,Thread Group 1-15,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,123,0,61
1709029477833,124,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,123,0,61
1709029477958,247,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,247,0,168
1709029478206,139,HTTP Request,200,OK,Thread Group 1-15,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,61,0,0
1709029478206,62,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,61,0,0
1709029478268,77,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,77,0,0
1709029480432,344,HTTP Request,200,OK,Thread Group 1-16,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,60
1709029480432,119,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,60
1709029480551,225,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,224,0,143
1709029480776,139,HTTP Request,200,OK,Thread Group 1-16,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029480776,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029480834,81,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,80,0,0
1709029483033,362,HTTP Request,200,OK,Thread Group 1-17,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,125,0,62
1709029483033,125,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,125,0,62
1709029483159,236,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,236,0,163
1709029483396,138,HTTP Request,200,OK,Thread Group 1-17,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,63,0,0
1709029483396,63,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,63,0,0
1709029483459,75,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,74,0,0
1709029485633,371,HTTP Request,200,OK,Thread Group 1-18,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,58
1709029485633,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,58
1709029485752,252,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,252,0,171
1709029486005,136,HTTP Request,200,OK,Thread Group 1-18,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,62,0,0
1709029486005,62,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,62,0,0
1709029486067,74,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,74,0,0
1709029488232,357,HTTP Request,200,OK,Thread Group 1-19,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029488232,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029488351,238,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,237,0,164
1709029488589,135,HTTP Request,200,OK,Thread Group 1-19,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029488589,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029488647,77,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,76,0,0
1709029490832,379,HTTP Request,200,OK,Thread Group 1-20,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,59
1709029490832,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,59
1709029490951,260,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,259,0,168
1709029491212,134,HTTP Request,200,OK,Thread Group 1-20,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,57,0,0
1709029491212,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,57,0,0
1709029491270,76,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,75,0,0
1709029493433,356,HTTP Request,200,OK,Thread Group 1-21,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,58
1709029493433,117,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,58
1709029493551,238,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,237,0,159
1709029493789,151,HTTP Request,200,OK,Thread Group 1-21,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029493789,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029493848,92,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,92,0,0
1709029496033,365,HTTP Request,200,OK,Thread Group 1-22,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,59
1709029496033,119,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,59
1709029496153,245,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,245,0,165
1709029496399,144,HTTP Request,200,OK,Thread Group 1-22,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029496399,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029496458,85,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,84,0,0
1709029498634,361,HTTP Request,200,OK,Thread Group 1-23,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,59
1709029498634,117,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,59
1709029498752,243,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,243,0,153
1709029498995,138,HTTP Request,200,OK,Thread Group 1-23,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029498995,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029499053,80,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,80,0,0
1709029501249,355,HTTP Request,200,OK,Thread Group 1-24,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029501249,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029501368,236,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,236,0,163
1709029501609,138,HTTP Request,200,OK,Thread Group 1-24,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029501609,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029501669,78,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,77,0,0
1709029503849,355,HTTP Request,200,OK,Thread Group 1-25,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,59
1709029503849,119,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,59
1709029503969,235,HTTP Request-1,200,OK,Thread Group 1-25,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,235,0,157
1709029504205,144,HTTP Request,200,OK,Thread Group 1-25,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,62,0,0
1709029504205,62,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,62,0,0
1709029504267,82,HTTP Request-1,200,OK,Thread Group 1-25,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,82,0,0
1709029506456,375,HTTP Request,200,OK,Thread Group 1-26,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,59
1709029506456,117,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,59
1709029506575,256,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,255,0,169
1709029506833,146,HTTP Request,200,OK,Thread Group 1-26,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029506833,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029506892,87,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,87,0,0
1709029509033,354,HTTP Request,200,OK,Thread Group 1-27,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029509033,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709029509152,235,HTTP Request-1,200,OK,Thread Group 1-27,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,234,0,157
1709029509387,138,HTTP Request,200,OK,Thread Group 1-27,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029509387,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709029509447,78,HTTP Request-1,200,OK,Thread Group 1-27,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,78,0,0
1709029511634,400,HTTP Request,200,OK,Thread Group 1-28,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,58
1709029511634,117,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,58
1709029511753,281,HTTP Request-1,200,OK,Thread Group 1-28,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,281,0,182
1709029512034,145,HTTP Request,200,OK,Thread Group 1-28,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,68,0,0
1709029512034,68,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,68,0,0
1709029512103,76,HTTP Request-1,200,OK,Thread Group 1-28,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,76,0,0
1709029514232,336,HTTP Request,200,OK,Thread Group 1-29,text,true,,3478,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,58
1709029514232,117,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,117,0,58
1709029514350,218,HTTP Request-1,200,OK,Thread Group 1-29,text,true,,2356,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,218,0,143
1709029514569,130,HTTP Request,200,OK,Thread Group 1-29,text,true,,3300,292,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029514569,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,1122,146,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,58,0,0
1709029514627,72,HTTP Request-1,200,OK,Thread Group 1-29,text,true,,2178,146,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,72,0,0
